sentence_id,instance_id,raw_text,targets
221,220,"pelayanan ramah , hotel islami yang baik dan lokasi yang strategis .","[{'term': 'pelayanan', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'hotel', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'lokasi', 'opinion': 'strategis', 'polarity': 'positive'}]"
222,221,"tempat bersih , nyaman , dan canggih .","[{'term': 'tempat', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'canggih', 'polarity': 'positive'}]"
223,222,"hotelnya nyaman , breakfastnya variatif dan pelayanannya bagus . terimakasih airy .","[{'term': 'hotelnya', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'breakfastnya', 'opinion': 'variatif', 'polarity': 'positive'}, {'term': 'pelayanannya', 'opinion': 'bagus', 'polarity': 'positive'}]"
224,223,"kamar nyaman , petugas ramah cuma timingnya tidak tepat kolam renang sedang renovasi padahal itu yang kemarin di incar anakanak .","[{'term': 'kamar', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'petugas', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'kolam renang', 'opinion': 'sedang renovasi padahal itu yang kemarin di incar anakanak', 'polarity': 'negative'}]"
225,224,bersih . nyaman . ramah . dekat dengan taman safari .,"[{'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'dekat dengan taman safari', 'polarity': 'positive'}]"
226,225,"lemari dan meja yang di dalam kamar sudah rusak , pintunya juga rusak , siaran tv nya tidak bagus .","[{'term': 'lemari', 'opinion': 'rusak', 'polarity': 'negative'}, {'term': 'meja', 'opinion': 'rusak', 'polarity': 'negative'}, {'term': 'pintunya', 'opinion': 'rusak', 'polarity': 'negative'}, {'term': 'siaran tv nya', 'opinion': 'tidak bagus', 'polarity': 'negative'}]"
227,226,"kamar baik dan ok , dekat dengan jatimpark .","[{'term': 'kamar', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'ok', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'dekat dengan jatimpark', 'polarity': 'positive'}]"
228,227,"kamarnya sih oke pas , cuma penjaganya lagi pms iya kok galak benar padahal cowok .","[{'term': 'kamarnya', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'pas', 'polarity': 'positive'}, {'term': 'penjaganya', 'opinion': 'lagi pms iya kok galak benar padahal cowok', 'polarity': 'negative'}]"
229,228,"petugas ramah , kamar lumayan cuma karena bangunan lama agak perlu pembenahan , toilet kurang bersih kecuali klosetnya lumayan bersih . dan kamar tanpa jendela , jadi sempit dan pengap meski ada ac . saat sarapan petugas kurang , jadi agak keteter melayani tamu .","[{'term': 'petugas', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'lumayan', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'karena bangunan lama agak perlu pembenahan', 'polarity': 'negative'}, {'term': 'toilet', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'klosetnya', 'opinion': 'lumayan bersih', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'tanpa jendela', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'sempit', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'pengap', 'polarity': 'negative'}, {'term': 'ac', 'opinion': 'ada', 'polarity': 'positive'}, {'term': 'petugas', 'opinion': 'kurang , jadi agak keteter melayani tamu', 'polarity': 'negative'}]"
230,229,tempatnya bagus untuk istirahat .,"[{'term': 'tempatnya', 'opinion': 'bagus untuk istirahat', 'polarity': 'positive'}]"
231,230,"suasana damai , parkiran luas , pelayanan ramah .","[{'term': 'suasana', 'opinion': 'damai', 'polarity': 'positive'}, {'term': 'parkiran', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'ramah', 'polarity': 'positive'}]"
232,231,"resepsionis nya super ramah . tempatnya bersih , rapi , wangi juga . nanti next time mau pilih tempat ini lagi .","[{'term': 'resepsionis nya', 'opinion': 'super ramah', 'polarity': 'positive'}, {'term': 'tempatnya', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'tempatnya', 'opinion': 'rapi', 'polarity': 'positive'}, {'term': 'tempatnya', 'opinion': 'wangi', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'mau pilih tempat ini lagi', 'polarity': 'positive'}]"
233,232,"kamar bagus dan karyawan ramah , tetapi satu hal hanya waktu sarapan pukul 8wita belum siap dan baru di buat ! payah . andai kalau aku tidak turun kamar mungkin tidak di sediakan . untuk lainnya good .","[{'term': 'kamar', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'karyawan', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'sarapan', 'opinion': 'pukul 8wita belum siap', 'polarity': 'negative'}, {'term': 'sarapan', 'opinion': 'baru di buat', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'payah', 'polarity': 'negative'}, {'term': 'sarapan', 'opinion': 'andai kalau aku tidak turun kamar mungkin tidak di sediakan', 'polarity': 'negative'}, {'term': 'lainnya', 'opinion': 'good', 'polarity': 'positive'}]"
234,233,"seperti biasa , bersih fasilitas berfungsi semua orang nya ramah .","[{'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'berfungsi semua', 'polarity': 'positive'}, {'term': 'orang nya', 'opinion': 'ramah', 'polarity': 'positive'}]"
235,234,"kamar agak kotor , bau rokoknya kuat , sarapan dan pelayanan istimewa .","[{'term': 'kamar', 'opinion': 'agak kotor', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'bau rokoknya kuat', 'polarity': 'negative'}, {'term': 'sarapan', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'istimewa', 'polarity': 'positive'}]"
236,235,"kamar bocor , air panas tidak nyalah , ac tidak dingin , .","[{'term': 'kamar', 'opinion': 'bocor', 'polarity': 'negative'}, {'term': 'air panas', 'opinion': 'tidak nyalah', 'polarity': 'negative'}, {'term': 'ac', 'opinion': 'tidak dingin', 'polarity': 'negative'}]"
237,236,kamar nya kurang dingin karena ac nya rusak . penanganan pindah kamar lama .,"[{'term': 'kamar nya', 'opinion': 'kurang dingin karena ac nya rusak', 'polarity': 'negative'}, {'term': 'penanganan pindah kamar', 'opinion': 'lama', 'polarity': 'negative'}]"
238,237,kebersihan kamar masih jelek .,"[{'term': 'kebersihan kamar', 'opinion': 'jelek', 'polarity': 'negative'}]"
239,238,lumayan nyaman cuma fasilitas nya kurang .,"[{'term': 'fasilitas nya', 'opinion': 'kurang', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'lumayan nyaman', 'polarity': 'positive'}]"
240,239,"tempat bersih nyaman , pegawainya ramah semua .","[{'term': 'tempat', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'pegawainya', 'opinion': 'ramah semua', 'polarity': 'positive'}]"
241,240,baik dan nyaman . bersih . untuk liburan keluarga .,"[{'term': 'null', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}]"
242,241,"hotel tua , dapat kamar yang kuncinya rusak , kemudian dipindah ke kamar lain , ketel air rusak dan bau , kamar mandi tergenang air .","[{'term': 'hotel', 'opinion': 'tua', 'polarity': 'negative'}, {'term': 'kuncinya', 'opinion': 'dapat kamar yang kuncinya rusak', 'polarity': 'negative'}, {'term': 'ketel air', 'opinion': 'rusak', 'polarity': 'negative'}, {'term': 'ketel air', 'opinion': 'bau', 'polarity': 'negative'}, {'term': 'kamar mandi', 'opinion': 'tergenang air', 'polarity': 'negative'}]"
243,242,"recommended . untuk harga segitu , lumayan lah .","[{'term': 'null', 'opinion': 'recommended . untuk harga segitu', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}]"
244,243,sangat puas dan menyenangkan . terima kasih !,"[{'term': 'null', 'opinion': 'sangat puas', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'menyenangkan', 'polarity': 'positive'}]"
245,244,"pelayanan ramah , kamar bersih dan harus lebih ditingkatkan untuk kebersihan , menu sarapan dan peralatan .","[{'term': 'pelayanan', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kebersihan', 'opinion': 'harus lebih ditingkatkan', 'polarity': 'negative'}]"
246,245,ac tidak dingin ! kamar kotor dan banyak nyamuk . air panas tidak nyala . tv sebagai pajangan saja iya ?,"[{'term': 'ac', 'opinion': 'tidak dingin', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'kotor', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'banyak nyamuk', 'polarity': 'negative'}, {'term': 'air panas', 'opinion': 'tidak nyala', 'polarity': 'negative'}, {'term': 'tv', 'opinion': 'sebagai pajangan saja', 'polarity': 'negative'}]"
247,246,"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada .","[{'term': 'handle pintu kamar mandinya', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}]"
248,247,"bersih dan nyaman , sayang tidak ada tv kabel .","[{'term': 'tv kabel', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
249,248,bersih . oke . nyaman .,"[{'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
250,249,sudah cukup baik .,"[{'term': 'null', 'opinion': 'cukup baik', 'polarity': 'positive'}]"
251,250,"kamar sesuai difoto , nyaman , dekat jalan malioboro pokoke jos gandos .","[{'term': 'kamar', 'opinion': 'sesuai difoto', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'dekat jalan malioboro', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'jos gandos', 'polarity': 'positive'}]"
252,251,nyaman . dekat dengan malioboro dan stasiun tugu . akses kemanakemana dekat .,"[{'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'dekat dengan malioboro dan stasiun tugu', 'polarity': 'positive'}, {'term': 'akses', 'opinion': 'kemanakemana dekat', 'polarity': 'positive'}]"
253,252,"wifi kencang , kamar luas , ac bagus , tetapi kamar mandi agak kotor , makanannya enak dan harga terjangkau , tempat makan juga banyak sekitar hotel , akses kemana - mana sekitar kota dekat , terimakasih airyroom .","[{'term': 'wifi', 'opinion': 'kencang', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'ac', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'kamar mandi', 'opinion': 'agak kotor', 'polarity': 'negative'}, {'term': 'makanannya', 'opinion': 'enak', 'polarity': 'positive'}, {'term': 'harga', 'opinion': 'terjangkau', 'polarity': 'positive'}, {'term': 'tempat makan', 'opinion': 'banyak sekitar hotel', 'polarity': 'positive'}, {'term': 'akses', 'opinion': 'kemana - mana sekitar kota dekat', 'polarity': 'positive'}]"
254,253,fasilitas memuaskan . kurang bersih kamarnya koridor dan lift nya .,"[{'term': 'fasilitas', 'opinion': 'memuaskan', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'koridor', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'lift nya', 'opinion': 'kurang bersih', 'polarity': 'negative'}]"
255,254,"viewnya bagus , tempatnya asyik , apalagi ada diskon jadi full sneng iya bisa diblkng lagi sebentar kalau liburan school .","[{'term': 'viewnya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'tempatnya', 'opinion': 'asyik', 'polarity': 'positive'}, {'term': 'diskon', 'opinion': 'apalagi ada diskon jadi full sneng', 'polarity': 'positive'}]"
256,255,"pelayanan baik , kebersihan kamar baik , hanya kelengkapannya saja tidak tersedianya termos untuk air panas ataupun memasak air panas , selebihnya baik .","[{'term': 'pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'kebersihan kamar', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'termos', 'opinion': 'tidak tersedianya termos untuk air panas ataupun memasak air panas', 'polarity': 'negative'}, {'term': 'selebihnya', 'opinion': 'baik', 'polarity': 'positive'}]"
257,256,susah sinyal sehingga mau menelepon itu harus keluar hotel .,"[{'term': 'sinyal', 'opinion': 'susah sinyal sehingga mau menelepon itu harus keluar hotel', 'polarity': 'negative'}]"
258,257,"lumayan , keseluruhan nyaman sayangnya , ada beberapa hal yang harus diperhatikan , kurangnya kebersihan pada kamar , ada bekas rexona di bawah kasur dari tamu awal , tetapi selebihnya luar biasa . nyaman , wifi cepat . pelayanan yang baik . terimakasih . rekomended buat backpacker yang bingung cari tempat untuk menginap , terimakasih airy . anda memang kece .","[{'term': 'keseluruhan', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'kebersihan pada kamar', 'opinion': 'kurangnya kebersihan pada kamar', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'ada bekas rexona di bawah kasur dari tamu awal', 'polarity': 'negative'}, {'term': 'selebihnya', 'opinion': 'luar biasa', 'polarity': 'positive'}, {'term': 'selebihnya', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'wifi', 'opinion': 'cepat', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'rekomended buat backpacker yang bingung cari tempat untuk menginap', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'kece', 'polarity': 'positive'}]"
259,258,kurang tisu di kamar mandi dan juga di ruangan .,"[{'term': 'tisu', 'opinion': 'kurang tisu di kamar mandi dan juga di ruangan', 'polarity': 'negative'}]"
260,259,pelayanan dan segalanya baik .,"[{'term': 'pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'segalanya', 'opinion': 'baik', 'polarity': 'positive'}]"
261,260,"tolong kamar airy pindah di lantai bawah iya . biar tidak naik tangga . lainnya oke , ac dingin , kamar mandi perlu pewangi , kamar juga perlu pewangi ruangan .","[{'term': 'kamar airy', 'opinion': 'tolong kamar airy pindah di lantai bawah iya . biar tidak naik tangga', 'polarity': 'positive'}, {'term': 'lainnya', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'ac', 'opinion': 'dingin', 'polarity': 'positive'}, {'term': 'kamar mandi', 'opinion': 'perlu pewangi', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'perlu pewangi ruangan', 'polarity': 'negative'}]"
262,261,"ada bau dari kamar mandi sampai beli pewangi ruangan sendiri , tidak ada snackbites .","[{'term': 'kamar mandi', 'opinion': 'ada bau dari kamar mandi sampai beli pewangi ruangan sendiri', 'polarity': 'negative'}, {'term': 'snackbites', 'opinion': 'tidak ada', 'polarity': 'negative'}]"
263,262,hotel bersih dan sesuai harga .,"[{'term': 'hotel', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'hotel', 'opinion': 'sesuai harga', 'polarity': 'positive'}]"
264,263,semua baik kecuali nyamuk banyak banget .,"[{'term': 'semua', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyamuk banyak banget', 'polarity': 'negative'}]"
265,264,pelayanan baik namun perlengkapan tidur seperti seprai dan selimut yang digunakan tidak dicuci dengan bersih sehingga masih ada bekas kotoran .,"[{'term': 'pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'seprai', 'opinion': 'tidak dicuci dengan bersih sehingga masih ada bekas kotoran', 'polarity': 'negative'}, {'term': 'selimut', 'opinion': 'tidak dicuci dengan bersih sehingga masih ada bekas kotoran', 'polarity': 'negative'}]"
266,265,seprai tidak diganti . banyak pasir .,"[{'term': 'seprai', 'opinion': 'tidak diganti', 'polarity': 'negative'}, {'term': 'seprai', 'opinion': 'banyak pasir', 'polarity': 'negative'}]"
267,266,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[{'term': 'sarapan', 'opinion': 'cuma di kasih 1 x di hari pertama', 'polarity': 'negative'}]"
268,267,"fasilitas , kamar , kebersihan , wi fi , bathroom , lokasi , semuanya istimewa !","[{'term': 'fasilitas', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'kebersihan', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'wi fi', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'bathroom', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'lokasi', 'opinion': 'istimewa', 'polarity': 'positive'}, {'term': 'semuanya', 'opinion': 'istimewa', 'polarity': 'positive'}]"
269,268,"ac kurang dingin karena sudah lama , yang bagus kamar nya luas , dan airy rooms selalu memberikan snack mungkin kebersihan nya perlu ditingkatkan untuk hotel ini .","[{'term': 'ac', 'opinion': 'kurang dingin karena sudah lama', 'polarity': 'negative'}, {'term': 'kamar nya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'kamar nya', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'snack', 'opinion': 'airy rooms selalu memberikan snack', 'polarity': 'positive'}, {'term': 'kebersihan nya', 'opinion': 'perlu ditingkatkan', 'polarity': 'positive'}]"
270,269,kebersihan kurang .,"[{'term': 'kebersihan', 'opinion': 'kurang', 'polarity': 'negative'}]"
271,270,"pelayanan baik dan sigap . sarapan lumayan enak untuk nasi goreng nya . cuma ada yang perlu di perbaiki , 1 . kamar mandi kurang bersih 2 . air panas di shower mati idup jadi tibatiba dingin sendiri 3 . aliran air pada shower kurang besar/banyak .","[{'term': 'pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'sigap', 'polarity': 'positive'}, {'term': 'sarapan', 'opinion': 'lumayan enak untuk nasi goreng nya', 'polarity': 'positive'}, {'term': 'kamar mandi', 'opinion': 'perlu di perbaiki', 'polarity': 'negative'}, {'term': 'air panas', 'opinion': 'perlu di perbaiki', 'polarity': 'negative'}, {'term': 'aliran air', 'opinion': 'perlu di perbaiki', 'polarity': 'negative'}, {'term': 'kamar mandi', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'air panas', 'opinion': 'mati idup jadi tibatiba dingin sendiri', 'polarity': 'negative'}, {'term': 'aliran air', 'opinion': 'kurang besar/banyak', 'polarity': 'negative'}]"
272,271,tidak disediakan tisu : ( .,"[{'term': 'tisu', 'opinion': 'tidak disediakan', 'polarity': 'negative'}]"
273,272,lumayan . harga murmer . fasilitas standar hotel . untuk makanan agak kurang sih tetapi overall good .,"[{'term': 'harga', 'opinion': 'murmer', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'standar hotel', 'polarity': 'positive'}, {'term': 'makanan', 'opinion': 'agak kurang', 'polarity': 'negative'}, {'term': 'overall', 'opinion': 'good', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}]"
274,273,cukup bersih meski tanpa sarapan . wifi dan tv perlu pembenahan karena tidak jalan .,"[{'term': 'sarapan', 'opinion': 'tanpa sarapan', 'polarity': 'negative'}, {'term': 'wifi', 'opinion': 'perlu pembenahan karena tidak jalan', 'polarity': 'negative'}, {'term': 'tv', 'opinion': 'perlu pembenahan karena tidak jalan', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'cukup bersih', 'polarity': 'positive'}]"
275,274,pagi ada sarapan roti dan teh kopi diantar ke kamar .,"[{'term': 'sarapan', 'opinion': 'pagi ada sarapan roti dan teh kopi diantar ke kamar', 'polarity': 'positive'}]"
276,275,"untuk yang skg sedikit agak mengecewakan dengan toiletnya . toiletnya bau iya , sehingga menggaggu untuk kami . apalagi pas pagi itu bau banget . jadi bangun tidur tidak nyaman begitu . kalau bisa minta tolong di perbaiki pihak hotelnya mgkin ada yang tersumbat . terima kasih .","[{'term': 'toiletnya', 'opinion': 'sedikit agak mengecewakan', 'polarity': 'negative'}, {'term': 'toiletnya', 'opinion': 'bau iya , sehingga menggaggu untuk kami', 'polarity': 'negative'}, {'term': 'toiletnya', 'opinion': 'apalagi pas pagi itu bau banget', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'jadi bangun tidur tidak nyaman begitu', 'polarity': 'negative'}, {'term': 'toiletnya', 'opinion': 'tolong di perbaiki pihak hotelnya mgkin ada yang tersumbat', 'polarity': 'negative'}]"
277,276,cukup oke dengan harga sekian tetapi bersih walaupun kamar tidak begitu luas .,"[{'term': 'null', 'opinion': 'cukup oke dengan harga sekian', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'tidak begitu luas', 'polarity': 'negative'}]"
278,277,tempat tidur nya tolong di perhatikan . selebihnya lumayan .,"[{'term': 'tempat tidur nya', 'opinion': 'tolong di perhatikan', 'polarity': 'negative'}, {'term': 'selebihnya', 'opinion': 'lumayan', 'polarity': 'positive'}]"
279,278,puas menginap disini .,"[{'term': 'null', 'opinion': 'puas menginap', 'polarity': 'positive'}]"
280,279,"airy syariahnya bersih , harum , tidak ada bau rokok , cuma ac nya agak ribut .","[{'term': 'airy', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'airy', 'opinion': 'harum', 'polarity': 'positive'}, {'term': 'airy', 'opinion': 'tidak ada bau rokok', 'polarity': 'positive'}, {'term': 'ac nya', 'opinion': 'agak ribut', 'polarity': 'negative'}]"
281,280,bagus . bersih . nyaman .,"[{'term': 'null', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
282,281,aslinya tidak sesuai dengan gambar . kamu wc kurang bagus dan kurang bersih .,"[{'term': 'wc', 'opinion': 'kurang bagus', 'polarity': 'negative'}, {'term': 'wc', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'aslinya tidak sesuai dengan gambar', 'polarity': 'negative'}]"
283,282,"kamar nyaman dan bersih , hanya kamar mandi nya bau nya kurang sedap dan sangat mengganggu dan juga kasurnya buat gatal gatal .","[{'term': 'kamar', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kamar mandi nya', 'opinion': 'bau nya kurang sedap', 'polarity': 'negative'}, {'term': 'kamar mandi nya', 'opinion': 'sangat mengganggu', 'polarity': 'negative'}, {'term': 'kasurnya', 'opinion': 'buat gatal gatal', 'polarity': 'negative'}]"
284,283,"tempat cukup nyman , tetapi sayang tempat tidurnya bunyi "" .","[{'term': 'tempat', 'opinion': 'cukup nyman', 'polarity': 'positive'}, {'term': 'tempat tidurnya', 'opinion': 'bunyi ""', 'polarity': 'negative'}]"
285,284,"minus air panas , ac kurang dingin , tidak ada keran buat wudhu . tetapi afterall its oke , suasananya nyaman tanpa ada suara kendaraan , dan tidak bising .","[{'term': 'air panas', 'opinion': 'minus', 'polarity': 'negative'}, {'term': 'ac', 'opinion': 'kurang dingin', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'tidak ada keran buat wudhu', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'suasananya', 'opinion': 'nyaman tanpa ada suara kendaraan', 'polarity': 'positive'}, {'term': 'suasananya', 'opinion': 'tidak bising', 'polarity': 'positive'}]"
286,285,setiap mau pakai kupon diskon kok tidak pernah bisa iya .,"[{'term': 'kupon diskon', 'opinion': 'setiap mau pakai kupon diskon kok tidak pernah bisa iya', 'polarity': 'negative'}]"
287,286,bersih dan lokasi strategis .,"[{'term': 'lokasi', 'opinion': 'strategis', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}]"
288,287,"kamarnya besih banget , luas , kamar mandi oke , ada poolnya . pelayanannya juga bagus sekali . recommended lah pokoknya .","[{'term': 'kamarnya', 'opinion': 'besih banget', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'kamar mandi', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'poolnya', 'opinion': 'ada', 'polarity': 'positive'}, {'term': 'pelayanannya', 'opinion': 'bagus sekali', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'recommended', 'polarity': 'positive'}]"
289,288,"lumayan , sayang kamar agak redup lampunya .","[{'term': 'lampunya', 'opinion': 'agak redup', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}]"
290,289,"kamar bau dari selokan kamar mandi , banyak nyamuknya , pagi air untuk mandi sangat kecil jadi harus menunggu agak siang untuk mandi .","[{'term': 'kamar', 'opinion': 'bau dari selokan kamar mandi', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'banyak nyamuknya', 'polarity': 'negative'}, {'term': 'air', 'opinion': 'pagi air untuk mandi sangat kecil jadi harus menunggu agak siang untuk mandi', 'polarity': 'negative'}]"
291,290,"kamar bersih , air lancar . pelayanan bagus .","[{'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'air', 'opinion': 'lancar', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'bagus', 'polarity': 'positive'}]"
292,291,"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .","[{'term': 'kamarnya', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'tidak mengecewakan', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'strategis untuk kemanamana', 'polarity': 'positive'}]"
293,292,"petugas nya , ramah 2 , baik dan sangat membantu , kamar nya bersih .","[{'term': 'petugas nya', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'petugas nya', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'petugas nya', 'opinion': 'sangat membantu', 'polarity': 'positive'}, {'term': 'kamar nya', 'opinion': 'bersih', 'polarity': 'positive'}]"
294,293,oke thank you .,"[{'term': 'null', 'opinion': 'oke', 'polarity': 'positive'}]"
295,294,"kamar luas dan nyaman , cuma fasilitas tidak seperti yang di foto dan tidak ada tempat sampah padahal penting sekali .","[{'term': 'kamar', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'tidak seperti yang di foto', 'polarity': 'negative'}, {'term': 'tempat sampah', 'opinion': 'tidak ada tempat sampah padahal penting sekali', 'polarity': 'negative'}]"
296,295,nyaman sih tetapi toilet kurang bersih saja .,"[{'term': 'toilet', 'opinion': 'kurang bersih', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
297,296,"mantap , pelayanan ramah , kamar bersih .","[{'term': 'pelayanan', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'mantap', 'polarity': 'positive'}]"
